"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,"Visitas ao perfil",Respostas,Navegação,"Cliques no link"
18116461241507362,17841468976680108,aurapokeranalytics,"Aura Poker Analytics",,0,"07/09/2026 16:24",https://www.instagram.com/stories/aurapokeranalytics/3937775530094406047,"Story do Instagram",,Total,123,91,3,0,1,0,102,
18042161039612578,17841468976680108,aurapokeranalytics,"Aura Poker Analytics",,0,"07/08/2026 18:39",https://www.instagram.com/stories/aurapokeranalytics/3937118885060456867,"Story do Instagram",,Total,1365,923,8,4,8,0,169,11
17921525100393799,17841468976680108,aurapokeranalytics,"Aura Poker Analytics",,23,"07/18/2026 08:12",https://www.instagram.com/stories/aurapokeranalytics/3944050849256365604,"Story do Instagram",,Total,124,82,3,0,1,0,106,
